type,source,title,link,Notes,date
Op Ed,CFR,"American Democracy Is Still in Trouble
Link",https://www.foreignaffairs.com/united-states/american-democracy-still-danger,,idate
Op Ed,CFR,Why European Democracies Are More Resilient Than Expected,https://www.cfr.org/article/why-european-democracies-are-more-resilient-expected,,idate
Op Ed,CFR,What to Expect From a Divided Government,https://www.cfr.org/blog/consequences-divided-government-us-foreign-policy,,idate
Op Ed,CFR,The Economic Agenda After the Midterms,https://www.cfr.org/blog/economic-agenda-after-midterms,,idate
Op Ed,CFR,U.S. Foreign Policy Powers: Congress and the President,https://www.cfr.org/backgrounder/us-foreign-policy-powers-congress-and-president,,idate
Op Ed,CFR,Conflicts to Watch for in 2023,https://www.cfr.org/report/conflicts-watch-2023,,idate
Op Ed,CFR,What in the World Will Happen in 2023?,https://www.cfr.org/article/what-world-will-happen-2023,,idate
Op Ed,CFR,The World Next Year,https://www.cfr.org/podcasts/world-next-year-what-watch-2023,,idate
Op Ed,Foreign Affairs,American Democracy Is Still in Danger,https://www.foreignaffairs.com/united-states/american-democracy-still-danger,,"JANUARY 5, 2023"
Op Ed,Foreign Affairs,American Democracy Is Still in Danger,https://www.foreignaffairs.com/united-states/missing-minerals-clean-energy-supply-chains,,"JANUARY 5, 2023"
Op Ed,Jacobin,"
            Lula: “Join Us in a Great Collective Effort Against Inequality.”
          ",https://jacobin.com/2023/01/lula-da-silva-brazil-president-inauguration-speech-inequality,,idate
Op Ed,Jacobin,"
        Big Pharma Uses Its Massive Profits to Enrich Shareholders, Not for Research
      ",https://jacobin.com/2023/01/big-pharma-stock-buybacks-dividends-profits-study,,idate
Op Ed,Jacobin,"
        Yesterday, Striking Uber Drivers Confronted a Tech Behemoth in New York
      ",https://jacobin.com/2023/01/new-york-city-uber-drivers-raise-strike-court-hearing,,idate
Op Ed,Jacobin,"
        For the Israeli Right, the New Government Represents a Return to Its Fascist Roots
      ",https://jacobin.com/2023/01/israel-far-right-fascism-palestinians-occupation,,idate
Op Ed,Jacobin,"
        FTX Convinced Poor People Their Money Was Safe in Crypto. It Wasn’t.
      ",https://jacobin.com/2023/01/ftx-cryptocurrency-bank-financial-precarity-sam-bankman-fried,,idate
Op Ed,Jacobin,"
      How Student Workers in STEM Took on Columbia University and Won Big
    ",https://jacobin.com/2023/01/columbia-university-student-workers-strike-democratic-union-stem,,idate
Op Ed,Jacobin,"
      Pelé Tried to Be an Apolitical Icon
    ",https://jacobin.com/2023/01/pele-brazil-dictatorship-politics-world-cup,,idate
Op Ed,Jacobin,"
      Liberal Corporate Media Ignores Government Wrongdoing When Liberals Are to Blame
    ",https://jacobin.com/2023/01/southwest-airlines-buttigieg-media-democrats,,idate
Op Ed,National Review,"DeSantis Shakes Up Leadership of Woke Florida College, Appoints Conservative Majority",https://www.nationalreview.com/news/desantis-shakes-up-leadership-of-woke-florida-college-appoints-conservative-majority/,,about 1 hour ago
Op Ed,National Review,This Is How Congress Is Supposed to Be,https://www.nationalreview.com/2023/01/this-is-how-congress-is-supposed-to-be/,,about 2 hours ago
Op Ed,National Review,Ashli Babbitt and the Warped Politics of Police Shootings,https://www.nationalreview.com/2023/01/ashli-babbitt-and-the-warped-politics-of-police-shootings/,,about 2 hours ago
Op Ed,National Review,Biden’s Empty Border Speech,https://www.nationalreview.com/2023/01/bidens-empty-border-speech/,,about 2 hours ago
Op Ed,National Review,Texas AG Sues Biden Admin over New ‘Public Charge’ Rule for Immigrants,https://www.nationalreview.com/news/texas-ag-sues-biden-admin-over-new-public-charge-rule-for-immigrants/,,about 3 hours ago
Op Ed,Stratechery,Holiday Break: December 26th to January 5th,https://stratechery.com/2022/holiday-break-december-26th-to-january-5th/,,"December 22, 2022"
Op Ed,Stratechery,The 2022 Stratechery Year in Review,https://stratechery.com/2022/the-2022-stratechery-year-in-review/,,"December 20, 2022"
Op Ed,Stratechery,Consoles and Competition,https://stratechery.com/2022/consoles-and-competition/,,"December 12, 2022"
Op Ed,Stratechery,AI Homework,https://stratechery.com/2022/ai-homework/,,"December 5, 2022"
Op Ed,Stratechery,Narratives,https://stratechery.com/2022/narratives/,,"November 14, 2022"
Op Ed,Stratechery,Stratechery Plus Adds Sharp China with Sinocism’s Bill Bishop,https://stratechery.com/2022/stratechery-plus-adds-sharp-china-with-sinocisms-bill-bishop/,,"November 4, 2022"
Op Ed,Stratechery,Meta Myths,https://stratechery.com/2022/meta-myths/,,"October 31, 2022"
Op Ed,Stratechery,Chips and China,https://stratechery.com/2022/chips-and-china/,,"October 25, 2022"
Op Ed,Sinocism,2023 Weekly Discussion Thread #1: Reopening; Real Estate; US-China,https://sinocism.com/p/2023-weekly-discussion-thread-1-reopening,,4 hr ago
Op Ed,Sinocism,Reopening; Transparency; Stimulating real estate demand; US-China,https://sinocism.com/p/reopening-transparency-stimulating,,19 hr ago
Op Ed,Sinocism,Covid reopening and growing concerns about lack of transparency; Marcos meets Xi; Propaganda work,https://sinocism.com/p/covid-reopening-and-growing-concerns,,Jan 5
Op Ed,Sinocism,Reopening; Testing PRC travelers; Wang Qishan in Brazil; More weak economic data; 辱华,https://sinocism.com/p/reopening-testing-prc-travelers-wang,,Jan 4
Op Ed,Sinocism,China’s Political Discourse November 2022: A Fire in Xinjiang Ignites Fury on the Streets of Shanghai,https://sinocism.com/p/chinas-political-discourse-november-bfd,,Jan 3
